         25700 function calls (25566 primitive calls) in 0.041 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\misc.py:595(_clear_cache)
       50    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:831(_count)
     11/5    0.000    0.000    0.036    0.007 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:788(func)
       24    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:1058(<genexpr>)
        1    0.000    0.000    0.002    0.002 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:1049(add_weighted_edges_from)
       43    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\backends.py:599(<genexpr>)
      418    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\union_find.py:46(__getitem__)
       19    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\union_find.py:91(union)
       36    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:286(__iter__)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\coreviews.py:329(__iter__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\function.py:172(freeze)
       20    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:520(__getitem__)
       51    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:1104(<genexpr>)
      392    0.001    0.000    0.003    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:847(__iter__)
