         13060031 function calls (13036035 primitive calls) in 22.732 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.001    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\linalg.py:994(eigvals)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\getlimits.py:685(__init__)
       32    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\getlimits.py:484(__new__)
       15    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:1283(_replace_dtype_fields_recursive)
      222    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numerictypes.py:283(issubclass_)
        7    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:380(with_segments)
        7    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:447(__fspath__)
       42    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
       28    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:200(reshape)
       14    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:583(name)
      137    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\copyreg.py:98(__newobj__)
       42    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
      166    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:560(root)
       39    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:569(_tail)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1164(__new__)
       13    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:1855(isscalar)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
       42    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
        2    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2170(allclose)
       90    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
       17    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
       85    0.000    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
     1530    0.002    0.000    0.032    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:55(_any)
        6    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2692(max)
        4    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2836(min)
      241    0.000    0.000    0.003    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:61(_all)
        4    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1980(shape)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:3176(ndim)
  296/275    0.000    0.000    0.005    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:132(__enter__)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:530(callback)
       32    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1768(ravel)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:362(_stack_dispatcher)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:341(full_like)
       17    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
      120    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:537(swapaxes)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1881(nonzero)
      296    0.001    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:299(helper)
      760    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:440(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:477(_exit_wrapper)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:475(_create_cb_wrapper)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:548(_push_exit_callback)
     1569    0.002    0.000    0.026    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:39(_amax)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2512(cumsum)
      809    0.001    0.000    0.008    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:43(_amin)
      760    0.002    0.000    0.018    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:47(_sum)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:481(__init__)
       30    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:40(_wrapit)
       32    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\getlimits.py:589(smallest_normal)
       26    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\stride_tricks.py:416(_broadcast_shape)
     1527    0.001    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_dtype.py:330(_name_includes_bit_suffix)
       44    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\getlimits.py:696(min)
       78    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
      296    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:104(__init__)
      760    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:446(__exit__)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
       44    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:452(_no_nep50_warning)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:77(_atleast_2d_dispatcher)
       42    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:63(_zeros_like_dispatcher)
       28    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:195(_reshape_dispatcher)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:337(_full_like_dispatcher)
       78    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:19(_atleast_1d_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2166(_allclose_dispatcher)
       22    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2245(_isclose_dispatcher)
      120    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:533(_swapaxes_dispatcher)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:861(_sort_dispatcher)
       32    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1764(_ravel_dispatcher)
       16    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1877(_nonzero_dispatcher)
